Text_Display,Cleansed_Text,Case_Folding,Tokenized_Text,Stopwords,Hasil_Kalimat
Ada sebuah Easter Egg berbentuk gambar Podcast dia di Podcast ini.. Saya selipkan 3 detik... Ada yang tau?!,Ada sebuah Easter Egg berbentuk gambar Podcast dia di Podcast ini Saya selipkan  detik Ada yang tau,ada sebuah easter egg berbentuk gambar podcast dia di podcast ini saya selipkan  detik ada yang tau,"['ada', 'sebuah', 'easter', 'egg', 'berbentuk', 'gambar', 'podcast', 'dia', 'di', 'podcast', 'ini', 'saya', 'selipkan', 'detik', 'ada', 'yang', 'tau']","['easter', 'egg', 'berbentuk', 'gambar', 'podcast', 'podcast', 'selipkan', 'detik', 'tau']",easter egg berbentuk gambar podcast podcast selipkan detik tau
"ZlO NlS munaflk sekali seolah oIah ini tanah miIiknya sendiri, padahal dulu yahudi juga genosida suku asli kanaan. Sejak zi0nis berdiri, telah mengusir jutaan warga sipil termasuk ratusan ribu kristen terusir setelah ribuan tahun di palestina. Dan tanah yang dijanjikan cuma diberikan kalau yahudi patuh perintah tuhan untuk menerima nabi2 selanjutnya termasuk yesus, yah kali tuhan memberikan ke kaum yang membangkang membunuh para nabi. Pantaslah yesus juga pernah mengutuk yahudi karena munafik(Matius 23:13-37)",ZlO NlS munaflk sekali seolah oIah ini tanah miIiknya sendiri padahal dulu yahudi juga genosida suku asli kanaan Sejak zinis berdiri telah mengusir jutaan warga sipil termasuk ratusan ribu kristen terusir setelah ribuan tahun di palestina Dan tanah yang dijanjikan cuma diberikan kalau yahudi patuh perintah tuhan untuk menerima nabi selanjutnya termasuk yesus yah kali tuhan memberikan ke kaum yang membangkang membunuh para nabi Pantaslah yesus juga pernah mengutuk yahudi karena munafikMatius ,zlo nls munaflk sekali seolah oiah ini tanah miiiknya sendiri padahal dulu yahudi juga genosida suku asli kanaan sejak zinis berdiri telah mengusir jutaan warga sipil termasuk ratusan ribu kristen terusir setelah ribuan tahun di palestina dan tanah yang dijanjikan cuma diberikan kalau yahudi patuh perintah tuhan untuk menerima nabi selanjutnya termasuk yesus yah kali tuhan memberikan ke kaum yang membangkang membunuh para nabi pantaslah yesus juga pernah mengutuk yahudi karena munafikmatius ,"['zlo', 'nls', 'munaflk', 'sekali', 'seolah', 'oiah', 'ini', 'tanah', 'miiiknya', 'sendiri', 'padahal', 'dulu', 'yahudi', 'juga', 'genosida', 'suku', 'asli', 'kanaan', 'sejak', 'zinis', 'berdiri', 'telah', 'mengusir', 'jutaan', 'warga', 'sipil', 'termasuk', 'ratusan', 'ribu', 'kristen', 'terusir', 'setelah', 'ribuan', 'tahun', 'di', 'palestina', 'dan', 'tanah', 'yang', 'dijanjikan', 'cuma', 'diberikan', 'kalau', 'yahudi', 'patuh', 'perintah', 'tuhan', 'untuk', 'menerima', 'nabi', 'selanjutnya', 'termasuk', 'yesus', 'yah', 'kali', 'tuhan', 'memberikan', 'ke', 'kaum', 'yang', 'membangkang', 'membunuh', 'para', 'nabi', 'pantaslah', 'yesus', 'juga', 'pernah', 'mengutuk', 'yahudi', 'karena', 'munafikmatius']","['zlo', 'nls', 'munaflk', 'oiah', 'tanah', 'miiiknya', 'yahudi', 'genosida', 'suku', 'asli', 'kanaan', 'zinis', 'berdiri', 'mengusir', 'jutaan', 'warga', 'sipil', 'ratusan', 'ribu', 'kristen', 'terusir', 'ribuan', 'palestina', 'tanah', 'dijanjikan', 'yahudi', 'patuh', 'perintah', 'tuhan', 'menerima', 'nabi', 'yesus', 'yah', 'kali', 'tuhan', 'kaum', 'membangkang', 'membunuh', 'nabi', 'pantaslah', 'yesus', 'mengutuk', 'yahudi', 'munafikmatius']",zlo nls munaflk oiah tanah miiiknya yahudi genosida suku asli kanaan zinis berdiri mengusir jutaan warga sipil ratusan ribu kristen terusir ribuan palestina tanah dijanjikan yahudi patuh perintah tuhan menerima nabi yesus yah kali tuhan kaum membangkang membunuh nabi pantaslah yesus mengutuk yahudi munafikmatius
Undang dondy tan om 🙏,Undang dondy tan om ,undang dondy tan om ,"['undang', 'dondy', 'tan', 'om']","['undang', 'dondy', 'tan', 'om']",undang dondy tan om
Ada muka coki pargeigei,Ada muka coki pargeigei,ada muka coki pargeigei,"['ada', 'muka', 'coki', 'pargeigei']","['muka', 'coki', 'pargeigei']",muka coki pargeigei
tidak ada lagi Cebong kampret dong pati,tidak ada lagi Cebong kampret dong pati,tidak ada lagi cebong kampret dong pati,"['tidak', 'ada', 'lagi', 'cebong', 'kampret', 'dong', 'pati']","['cebong', 'kampret', 'pati']",cebong kampret pati
"Untukmu agamamu, untukku agamaku❤",Untukmu agamamu untukku agamaku,untukmu agamamu untukku agamaku,"['untukmu', 'agamamu', 'untukku', 'agamaku']","['untukmu', 'agamamu', 'untukku', 'agamaku']",untukmu agamamu untukku agamaku
@corbuzier bisa ga kau kontak Christian Prince om bawa live ke podcast kau terus bawa para ustadz terkemuka kalau bisa ustad felix biar debat dengan christian prince agar kalian faham bahwa israel itu siapa sebenarnya!!,corbuzier bisa ga kau kontak Christian Prince om bawa live ke podcast kau terus bawa para ustadz terkemuka kalau bisa ustad felix biar debat dengan christian prince agar kalian faham bahwa israel itu siapa sebenarnya,corbuzier bisa ga kau kontak christian prince om bawa live ke podcast kau terus bawa para ustadz terkemuka kalau bisa ustad felix biar debat dengan christian prince agar kalian faham bahwa israel itu siapa sebenarnya,"['corbuzier', 'bisa', 'ga', 'kau', 'kontak', 'christian', 'prince', 'om', 'bawa', 'live', 'ke', 'podcast', 'kau', 'terus', 'bawa', 'para', 'ustadz', 'terkemuka', 'kalau', 'bisa', 'ustad', 'felix', 'biar', 'debat', 'dengan', 'christian', 'prince', 'agar', 'kalian', 'faham', 'bahwa', 'israel', 'itu', 'siapa', 'sebenarnya']","['corbuzier', 'ga', 'kau', 'kontak', 'christian', 'prince', 'om', 'bawa', 'live', 'podcast', 'kau', 'bawa', 'ustadz', 'terkemuka', 'ustad', 'felix', 'biar', 'debat', 'christian', 'prince', 'faham', 'israel']",corbuzier ga kau kontak christian prince om bawa live podcast kau bawa ustadz terkemuka ustad felix biar debat christian prince faham israel
"Aku malah makin bingung sama org2 yg kayak gtu, nyari viwers kok gitu amat. <br>Paling tidak pelajari dulu data dan sejarah nya, <a href=""http://www.youtube.com/results?search_query=%23keong"">#KEONG</a>",Aku malah makin bingung sama org yg kayak gtu nyari viwers kok gitu amat brPaling tidak pelajari dulu data dan sejarah nya a hrefhttpwwwyoutubecomresultssearchquerykeongKEONGa,aku malah makin bingung sama org yg kayak gtu nyari viwers kok gitu amat brpaling tidak pelajari dulu data dan sejarah nya a hrefhttpwwwyoutubecomresultssearchquerykeongkeonga,"['aku', 'malah', 'makin', 'bingung', 'sama', 'org', 'yg', 'kayak', 'gtu', 'nyari', 'viwers', 'kok', 'gitu', 'amat', 'brpaling', 'tidak', 'pelajari', 'dulu', 'data', 'dan', 'sejarah', 'nya', 'a', 'hrefhttpwwwyoutubecomresultssearchquerykeongkeonga']","['bingung', 'org', 'yg', 'kayak', 'gtu', 'nyari', 'viwers', 'gitu', 'brpaling', 'pelajari', 'data', 'sejarah', 'nya', 'a', 'hrefhttpwwwyoutubecomresultssearchquerykeongkeonga']",bingung org yg kayak gtu nyari viwers gitu brpaling pelajari data sejarah nya a hrefhttpwwwyoutubecomresultssearchquerykeongkeonga
"Saya tidak ngomong masalah agama disini : karna dari awal si eliot bilang &quot;KEKRISTENAN TIDAK LEPAS DARI ISRAEL&quot; <br><br>lepas dari agama : <br><br>- saya tidak membenarkan pembunuhan brutal dan random <br><br>- saya tidak mengikuti golongan yang membunuh bayi di inkubator<br><br>- saya tidak pro dengan penjajah <br><br>- saya tidak mendukung genoside<br><br>- saya tidak mendukung zionis<br><br>- saya tidak membenarkan penghancuran tempat ibadah baik itu greja dan masjid<br><br>jika kalian mendukung yang saya sebutkan di atas, saya meragukan keimanan anda, apapun agama anda",Saya tidak ngomong masalah agama disini  karna dari awal si eliot bilang quotKEKRISTENAN TIDAK LEPAS DARI ISRAELquot brbrlepas dari agama  brbr saya tidak membenarkan pembunuhan brutal dan random brbr saya tidak mengikuti golongan yang membunuh bayi di inkubatorbrbr saya tidak pro dengan penjajah brbr saya tidak mendukung genosidebrbr saya tidak mendukung zionisbrbr saya tidak membenarkan penghancuran tempat ibadah baik itu greja dan masjidbrbrjika kalian mendukung yang saya sebutkan di atas saya meragukan keimanan anda apapun agama anda,saya tidak ngomong masalah agama disini  karna dari awal si eliot bilang quotkekristenan tidak lepas dari israelquot brbrlepas dari agama  brbr saya tidak membenarkan pembunuhan brutal dan random brbr saya tidak mengikuti golongan yang membunuh bayi di inkubatorbrbr saya tidak pro dengan penjajah brbr saya tidak mendukung genosidebrbr saya tidak mendukung zionisbrbr saya tidak membenarkan penghancuran tempat ibadah baik itu greja dan masjidbrbrjika kalian mendukung yang saya sebutkan di atas saya meragukan keimanan anda apapun agama anda,"['saya', 'tidak', 'ngomong', 'masalah', 'agama', 'disini', 'karna', 'dari', 'awal', 'si', 'eliot', 'bilang', 'quotkekristenan', 'tidak', 'lepas', 'dari', 'israelquot', 'brbrlepas', 'dari', 'agama', 'brbr', 'saya', 'tidak', 'membenarkan', 'pembunuhan', 'brutal', 'dan', 'random', 'brbr', 'saya', 'tidak', 'mengikuti', 'golongan', 'yang', 'membunuh', 'bayi', 'di', 'inkubatorbrbr', 'saya', 'tidak', 'pro', 'dengan', 'penjajah', 'brbr', 'saya', 'tidak', 'mendukung', 'genosidebrbr', 'saya', 'tidak', 'mendukung', 'zionisbrbr', 'saya', 'tidak', 'membenarkan', 'penghancuran', 'tempat', 'ibadah', 'baik', 'itu', 'greja', 'dan', 'masjidbrbrjika', 'kalian', 'mendukung', 'yang', 'saya', 'sebutkan', 'di', 'atas', 'saya', 'meragukan', 'keimanan', 'anda', 'apapun', 'agama', 'anda']","['ngomong', 'agama', 'karna', 'si', 'eliot', 'bilang', 'quotkekristenan', 'lepas', 'israelquot', 'brbrlepas', 'agama', 'brbr', 'membenarkan', 'pembunuhan', 'brutal', 'random', 'brbr', 'mengikuti', 'golongan', 'membunuh', 'bayi', 'inkubatorbrbr', 'pro', 'penjajah', 'brbr', 'mendukung', 'genosidebrbr', 'mendukung', 'zionisbrbr', 'membenarkan', 'penghancuran', 'ibadah', 'greja', 'masjidbrbrjika', 'mendukung', 'sebutkan', 'meragukan', 'keimanan', 'apapun', 'agama']",ngomong agama karna si eliot bilang quotkekristenan lepas israelquot brbrlepas agama brbr membenarkan pembunuhan brutal random brbr mengikuti golongan membunuh bayi inkubatorbrbr pro penjajah brbr mendukung genosidebrbr mendukung zionisbrbr membenarkan penghancuran ibadah greja masjidbrbrjika mendukung sebutkan meragukan keimanan apapun agama
Knp tdk ditangkap sj orang2 banyak bacot yg gak punya data ini om Ded ?,Knp tdk ditangkap sj orang banyak bacot yg gak punya data ini om Ded ,knp tdk ditangkap sj orang banyak bacot yg gak punya data ini om ded ,"['knp', 'tdk', 'ditangkap', 'sj', 'orang', 'banyak', 'bacot', 'yg', 'gak', 'punya', 'data', 'ini', 'om', 'ded']","['knp', 'tdk', 'ditangkap', 'sj', 'orang', 'bacot', 'yg', 'gak', 'data', 'om', 'ded']",knp tdk ditangkap sj orang bacot yg gak data om ded
