publishedAt,authorDisplayName,textDisplay
2023-11-29T05:16:34Z,@corbuzier,Ada sebuah Easter Egg berbentuk gambar Podcast dia di Podcast ini.. Saya selipkan 3 detik... Ada yang tau?!
2023-11-29T05:17:09Z,@Independence4545,"ZlO NlS munaflk sekali seolah oIah ini tanah miIiknya sendiri, padahal dulu yahudi juga genosida suku asli kanaan. Sejak zi0nis berdiri, telah mengusir jutaan warga sipil termasuk ratusan ribu kristen terusir setelah ribuan tahun di palestina. Dan tanah yang dijanjikan cuma diberikan kalau yahudi patuh perintah tuhan untuk menerima nabi2 selanjutnya termasuk yesus, yah kali tuhan memberikan ke kaum yang membangkang membunuh para nabi. Pantaslah yesus juga pernah mengutuk yahudi karena munafik(Matius 23:13-37)"
2023-11-29T05:17:11Z,@rizkireza7478,Undang dondy tan om 🙏
2023-11-29T05:17:24Z,@adityawardhana5103,Ada muka coki pargeigei
2023-11-29T05:17:34Z,@sul720,tidak ada lagi Cebong kampret dong pati
2023-11-29T05:17:47Z,@MarselPnjtn,"Untukmu agamamu, untukku agamaku❤"
2024-01-02T10:43:29Z,@BagaimanaBumi,@corbuzier bisa ga kau kontak Christian Prince om bawa live ke podcast kau terus bawa para ustadz terkemuka kalau bisa ustad felix biar debat dengan christian prince agar kalian faham bahwa israel itu siapa sebenarnya!!
2024-01-02T10:40:18Z,@ardikurniadi1733,"Aku malah makin bingung sama org2 yg kayak gtu, nyari viwers kok gitu amat. <br>Paling tidak pelajari dulu data dan sejarah nya, <a href=""http://www.youtube.com/results?search_query=%23keong"">#KEONG</a>"
2024-01-02T09:39:39Z,@rioblackcurv.,"Saya tidak ngomong masalah agama disini : karna dari awal si eliot bilang &quot;KEKRISTENAN TIDAK LEPAS DARI ISRAEL&quot; <br><br>lepas dari agama : <br><br>- saya tidak membenarkan pembunuhan brutal dan random <br><br>- saya tidak mengikuti golongan yang membunuh bayi di inkubator<br><br>- saya tidak pro dengan penjajah <br><br>- saya tidak mendukung genoside<br><br>- saya tidak mendukung zionis<br><br>- saya tidak membenarkan penghancuran tempat ibadah baik itu greja dan masjid<br><br>jika kalian mendukung yang saya sebutkan di atas, saya meragukan keimanan anda, apapun agama anda"
2024-01-02T08:51:52Z,@YangUnikTV,Knp tdk ditangkap sj orang2 banyak bacot yg gak punya data ini om Ded ?
2024-01-02T08:50:52Z,@frendyaa110,Mereka itu gak faham karena gak baca!!!
2024-01-02T07:50:57Z,@daveid9439,"<a href=""http://mantab.om/"">Mantab.om</a> ded biar orang orang merasa sok pintar tau bahwa mereka sebenernya bodoh.."
2024-01-02T07:20:09Z,@deviavirgilia1213,Undang Ust. Kainama
2024-01-02T06:25:05Z,@belzzenzafilterotomotif7637,"Gk ada yang urusin km ded, km cm nyari duit dengan gaya lebay pakai emosi biar org simpati dan nonton youtube km"
2024-01-02T05:21:48Z,@hakeemdj368,Zionis dan para simpatisannya mendukung genosida. pendukung genosida bukan manusia 🤔
2024-01-02T04:39:02Z,@peterfirmandi1172,"Om Ded, Syahrini membahas Kristen itu salah kamar engga? Koq anda mingkem aja engga koar2 😂"
2024-01-02T02:23:57Z,@user-rl8lt3yf3o,Kadang yg ilmunya msih dangkal sok bisa bicara tpi tidak tau fakta dan ilmunya ....
2024-01-02T01:59:04Z,@lim4nol,Kira wanita ternyata pria anjirrrr😅
2024-01-02T01:16:31Z,@ikkelobo2948,BUNG  DEDI<br>SKRANG LO BICARA PELESTINA<br>KLO PAPUA YG LG FIRAL INGIN MERDEKA ???
2024-01-02T00:35:34Z,@handalaritonang5041,Coba om bicara seperti ini terhadap teman mayoritas yg suka bicarain agama lain Yg merendahkan
2024-01-02T00:24:09Z,@okkysakti9088,"Itu sh Indah G kata aj Sperti Pride Indonesia, tapi ngomong pake bahasa Inggris<br>Klw Papua msih gtu² aj pdahal bantuan nya sdah bnyk gtu<br>Yah Manajemen yg ngurus dana sebesar itu yg harus d&#39;pertanyakan"
2024-01-01T19:30:23Z,@kaknomor9semogabisaaminazh363,Cewek pengen laki atw laki pengen cewek😅😅😅
2024-01-01T19:07:30Z,@misliyeh3154,Usir j manusia ke gitu
2024-01-01T18:46:51Z,@budhiez3261,Psti oten yg rata2 tebar  kbencian ...doktrin dn dogma nyata di sampaikn
2024-01-01T18:38:33Z,@TheDonkren,Dari video ini dapat diambil kesimpulan bahwa om deddy gak pernah menjelajahi channel youtube yg berkaitan dengan agama.<br><br>Padahal agama islam paling sering membahas agama lain 😂<br><br>Dia belom nonton saja betapa lebih parah nya kalau agama islam membahas agama kristen 😬<br><br>Padahal yg disampaikan elia itu fakta sejarah.<br>Bantah saja kalau bisa 😂
2024-01-01T16:40:46Z,@nurulislamiyah8834,"Free palestina, Amiiin Ya Rob"
2024-01-01T15:57:17Z,@yuliantipiliang1661,"Inilah yang aku suka dengan Dedyy Corbuzier dari dulu smpai skarang, orangnya pinter, cerdas, jenius menurut saya dan suka menimbah ilmu...<br>Sekarang tambah bijaksana, semoga ke depannya tambah sukses dunia akhirat buat DC aamiin ya Rabbal&#39;alamiin..."
2024-01-01T15:42:08Z,@esklepon5918,nah.. kok ga fair nih pak.. kok cmn Elia nya di senggol.. Dondy Tan ngga ?<br><br>dan msh ad jg sebutan&quot; oten oten ???<br>toleransi kah ?
2024-01-01T14:50:28Z,@rioo636,"Lho bilang jgn masuk kamar org lain,tpi lho (dady crbsr) sndri yg dluan masuk kamar org lain.mikir lho"
2024-01-01T12:00:47Z,@taryudinyudin5638,Ni Elia sebenarnya perempuan klo Ndak percaya cek pisiknya 😂😂😂
2024-01-01T07:20:38Z,@evhatama,"Mereka tidak paham walau lahir di indonesia dan jadi warga NKRI bahwa dari semenjak kita merdeka sudah sangat jelas dalam UUD kita bahwa segala macam bentuk penjajahan dimuka bumi ini harus dihapuskan selama israel masih menjajah maka selama itu pula indonesia tidak akan mengakui mereka,,dan kalian kaum sebelah masih tutup mata."
2024-01-01T04:29:58Z,@jeffreyadamm6539,"KOKOH  BOTAK  DEDI  CORBUZIER  JANGAN  MEM PROVOKASI  YAH,    NGAK  ADA  YG  SALAH  DGN  BINCANG2 ELIA MYRON,   JANGAN  KEPO  DAN  SOK  TAU.    BIARKAN  DIA   MENYAMPAIKAN  APA  YG  DIA  KETAHUI,   NGAK  ADA  URUSANNYA  DGN  LU  DEDI.  LU  URUS  AJA  DIRI  LU  DAN  IMAN  LU,    JANGAN  KEPO  KEPO  GITU,  LU  TAU  APA  DALAM HAL  INI."
2024-01-01T03:52:47Z,@agusyuniar3886,Cerdas ente Ded
2024-01-01T03:40:29Z,@kamtitini2076,"Indah g dan elia itu ga ngerti tinggal di mana dua orang itu  ya...ga paham Pembukaan UUD 1945, baru pembukaanya lho..lihat tu d dengarkn tu orang papua"
2024-01-01T03:00:02Z,@HarygirawanGirawan-pi9vw,Kaya yng namanya indah seharusnya ucapanya jarus lbih indah** cuman kalaow ga mau bantu palistin gpp cuman jaga bacotnya ga usah propfokatip**
